TIENDA;DIRECCION CAMARA Y COMERCIO;CIUDAD/MUNICIPIO;DEPARTAMENTO;BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMANGA SAN JOSE;calle 16 No 17-65;BUCARAMANGA;SANTANDER;San Francisco ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BBERMEJA EL CAMPIN;CR 64 # 44 B - 87 ;BARRANCABERMEJA;SANTANDER;Campin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUC PLAZA DEL ESTE;Anillo vial Occidental  v°a Escobal centro comercial plaza del este local 7;CUCUTA;N. DE SANTANDER;Prados del Este;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FLORIDA LIMONCITO;CL 5 # 11 - 42 ;FLORIDABLANCA;SANTANDER;Limoncito ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GIRON PUERTOMADER;CL 13 C # 13 - 18 ;GIRON;SANTANDER;Puerto Madero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GAMARRA;CL 7 # 7 - 7 ;GAMARRA;CESAR;CENTRO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAN MARTIN;CR 13 # 7 - 16 ;SAN MARTIN;CESAR;Centro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N SDER ABREGO;CL 14 # 5 - 28 ;ABREGO;N. DE SANTANDER;Centro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SDER CHARALA;CL 24 # 14 A - 30 ;CHARALA;SANTANDER;Centro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUCUTA SAN LUIS;AV 3 # 17 - 59 ;CUCUTA;N. DE SANTANDER;San Luis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PCUEST BARROBLANCO;AV 17 # 15 A -30    TV 3 A W # 15 A - 23 ;PIEDECUESTA;SANTANDER;BarroBlanco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUC FUENT LUMINOSA;AV 0 # 8 - 5 ;CUCUTA;N. DE SANTANDER;Latin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OCA•A PRIMAVERA;CL 7 # 42 - 6 ;OCA•A;N. DE SANTANDER;La Gloria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BGA PARQ CENTENARIO;CL 33 # 17 - 72 ;BUCARAMANGA;SANTANDER;Centro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GIRON CANEYES;CL 25 # 21 B - 183 ;GIRON;SANTANDER;Villa Campestre ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUC TERMINAL;CL 0 # 9 - 98 ;CUCUTA;N. DE SANTANDER;Pueblo Nuevo ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUC LA CASONA;AK 5 # 12 - 3 ;CUCUTA;N. DE SANTANDER;Centro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUC RIVIERA;CL 8 AVENIDA 9 E - 11 ;CUCUTA;N. DE SANTANDER;La Rivera;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VILLAROSA LA PARADA;CL 8 # 9 - 22 ;VILLA DEL ROSARIO;N. DE SANTANDER;La Parada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVAR SAN PABLO;CL 17 # 8 - 54 ;SAN PABLO;BOLIVAR;Santander ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUC AVD LAS AMERICAS;CL 16 NOR # 16 C - 102 ;CUCUTA;N. DE SANTANDER;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUC ANTONIA SANTOS;CL 25 # 55 - 11 ;CUCUTA;N. DE SANTANDER;Antonia Santos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMANGA GIRARDOT;CR 7 # 25 - 31 ;BUCARAMANGA;SANTANDER;Girardot ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
